Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
This World,ATEEZ,THE WORLD EP.2 : OUTLAW,5DxixnuklLg28S7UMeGC9H,6QDcmN2Avrim8kNoCHkw9s,55,2023-06-16,212106,False,https://open.spotify.com/track/6QDcmN2Avrim8kNoCHkw9s,0.457,0.834,2,-5.398,1,0.11,0.00147,0.0,0.612,0.18,176.088
DJANGO,ATEEZ,THE WORLD EP.2 : OUTLAW,5DxixnuklLg28S7UMeGC9H,5Ku5uYEtkdpNlkgqU6p4ir,55,2023-06-16,191923,False,https://open.spotify.com/track/5Ku5uYEtkdpNlkgqU6p4ir,0.761,0.826,5,-4.184,0,0.128,0.107,0.0,0.0571,0.648,93.911
Dune,ATEEZ,THE WORLD EP.2 : OUTLAW,5DxixnuklLg28S7UMeGC9H,1CwzGOJqmATtWE8H00MEIL,55,2023-06-16,195484,False,https://open.spotify.com/track/1CwzGOJqmATtWE8H00MEIL,0.515,0.926,9,-3.769,1,0.155,0.00506,0.0,0.312,0.595,160.09
Wake Up,ATEEZ,THE WORLD EP.2 : OUTLAW,5DxixnuklLg28S7UMeGC9H,2fZ1DdMpQZIiPMIgyt27dT,56,2023-06-16,186434,False,https://open.spotify.com/track/2fZ1DdMpQZIiPMIgyt27dT,0.558,0.931,1,-3.484,1,0.0644,0.00286,0.0,0.228,0.41,149.918
BOUNCY (K-HOT CHILLI PEPPERS),ATEEZ,THE WORLD EP.2 : OUTLAW,5DxixnuklLg28S7UMeGC9H,5KyOUICJIvO0z71MBdPGiX,68,2023-06-16,187311,False,https://open.spotify.com/track/5KyOUICJIvO0z71MBdPGiX,0.532,0.896,8,-4.356,1,0.184,0.00869,0.0,0.106,0.479,150.06
GRL GVNG,XG,GRL GVNG,0s6tMsTvOqtqmFxJogsIJS,5OqMZ8In8CkCa0SbknnDPl,62,2023-06-30,188093,False,https://open.spotify.com/track/5OqMZ8In8CkCa0SbknnDPl,0.765,0.65,6,-6.043,1,0.0372,0.0669,0.0,0.204,0.409,131.022
Roller Coaster,NMIXX,Roller Coaster,1brnEznuO5sOFwX5cgblYw,1fP8o0lIaSIE5jEeblT8df,58,2023-07-03,179373,False,https://open.spotify.com/track/1fP8o0lIaSIE5jEeblT8df,0.713,0.899,7,-3.386,1,0.0584,0.0956,0.0,0.387,0.611,120.027
Shhh,KISS OF LIFE,KISS OF LIFE,5k34rAvlw3WV7Kh6dAZnxG,76qqDJijAjFph7sjUxNVG8,66,2023-07-05,182240,False,https://open.spotify.com/track/76qqDJijAjFph7sjUxNVG8,0.796,0.758,6,-4.402,1,0.117,0.156,2.65e-06,0.0622,0.829,99.98
Sugarcoat (NATTY Solo),KISS OF LIFE,KISS OF LIFE,5k34rAvlw3WV7Kh6dAZnxG,0NoeYUnwpb9R26mpylHcR9,69,2023-07-05,179867,False,https://open.spotify.com/track/0NoeYUnwpb9R26mpylHcR9,0.663,0.82,5,-3.244,0,0.0362,0.0339,0.0,0.0974,0.568,94.019
Super Shy,NewJeans,NewJeans 'Super Shy',5V729UqvhwNOcMejx0m55I,5sdQOyqq2IDhvmx2lHOpwd,79,2023-07-07,154667,False,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921
